품명,가격,embedding
라이카 SL2-S,"7,280,000원","[-0.65961915, -0.079081595, 0.4976609, 0.5808426, 0.007489361, -0.45566425, 0.12618983, 0.49637595, -0.28598294, -0.47049356, 0.43462825, -0.4698732, 0.07259031, -0.3721908, -0.5274767, 0.43377513, 0.37067577, 0.53039056, 0.38859925, 0.21041664, -0.5245006, 0.72621065, -0.9359354, 0.4235079, 0.23523879, -0.22299209, -0.36927223, 0.049829878, 0.5495623, -0.50006443, 0.13440171, -1.0017608, 0.43699238, 0.89569455, -0.015196502, -0.2118975, -0.19752797, 0.14980038, 0.6851971, 0.014321722, -0.5448829, 0.32843256, -0.25767833, 0.081388794, 0.22538482, 0.07580739, -0.4535685, -0.3767446, 0.19620684, -0.26339245, -0.17009054, 0.45955804, -0.5649247, 0.45420802, -0.08940473, -0.16998467, 0.15099424, -0.40258417, 0.041001577, 0.29060048, -0.6543076, -0.16487421, -0.2676303, 0.14031276, 0.06880166, 0.16412094, -0.69752955, 0.37146705, 0.7038449, 0.2682143, 0.48141426, -0.8379763, -0.43265218, -0.02544409, 0.45258746, 0.15422547, 0.39416206, -0.25637668, -0.35006443, 0.7033449, -0.026548762, -0.13660164, -0.16633555, -0.4334097, -0.09769751, -0.00018051639, -0.885104, -0.17391737, -0.27387536, 0.63723963, 0.504999, -0.40973687, -0.296501, 0.44685176, -0.5863316, -0.674912, 0.093382716, -0.28028792, 0.8898536, 0.2819136, -0.5278131, -0.42555058, -0.61563885, 0.43379733, 0.48977414, 0.41626492, -0.10400356, 0.17581664, 0.44996008, 0.37980643, 0.24503526, -0.34838936, 0.093620956, -0.80964816, 0.17157462, 0.04935611, -0.27154306, -0.11474092, -0.63257563, 0.535607, -0.75123143, -0.00772376, -0.06071811, 0.4739365, -0.64436376, -0.8207698, 0.37848744, -0.6033589, -0.19911394, 0.6463597, -0.7342896, 0.0073266663, -0.645232, -0.5212902, 0.111326404, 0.40773183, -0.22133632, -0.046581633, 0.38922554, 0.1414051, -0.32183236, 0.28639108, 0.38787326, 0.6818464, -0.061291583, -0.038608566, 0.1619104, -0.1410453, -0.13418455, -0.23538864, -0.07650818, 0.46392626, -0.806764, -0.86215097, -0.21983606, 0.16169792, -0.37851796, -0.16169152, -0.8092318, 0.10311614, 0.3393397, 0.15038668, 0.17818177, -0.4083389, 0.5740114, -0.09038024, 0.8376495, -0.22292751, -0.3016439, 0.6787718, -0.19512135, 0.11861501, 0.29007512, 0.39329082, 1.1018302, 0.6622871, 0.0246053, -0.36001202, -0.48733467, 0.2914721, -0.14682217, 0.16123877, 0.38871524, -0.3960573, -0.057932124, -0.33037543, -0.38550094, -0.1602602, -0.117919125, -0.086282864, -0.3701946, 0.20789671, -0.071390085, -0.29094806, -0.34655616, 0.60782886, 0.40117803, -0.14056559, -0.23165107, 0.24158244, -0.4092807, 0.075139455, 0.037956342, 0.779967, 0.056411207, 0.26848942, 0.54492366, -0.23023665, 0.11853534, -0.7658639, -0.06795893, -0.10700038, 0.36706454, -0.5495586, -0.34771872, -0.24451075, 0.06852396, 0.24309063, -0.08472555, 0.39011, 0.036154788, -0.17213991, -0.041989964, 0.13275278, -0.1991656, -0.048816998, 0.25567353, -0.4319611, -0.17701422, -0.42556912, -0.47687924, -0.2126711, 0.18877989, 0.3047025, 0.55089575, 0.5923225, -0.054554246, -0.39378566, 0.72540736, 0.45922804, -0.3187686, -0.06486, -0.466336, -0.18343829, 0.17105587, -0.24518202, -0.082967564, 0.019509085, 0.7228605, -1.0345103, -0.41309214, 0.07141687, 0.06802047, -0.11136564, 0.18551096, -0.23394695, 0.615569, 0.30170885, -0.37058628, 0.33239442, 0.22897282, -0.6945149, -0.60824615, -0.3975225, 0.2637831, 0.06303658, 0.31656668, -1.0151511, 0.10356496, 0.4548695, -0.0821045, 0.6224649, 0.18678391, -0.703656, -0.07451207, -0.9394037, 0.4350776, -0.44596103, -0.2688571, -0.80217236, -0.55321157, -0.5965691, 0.23105784, -0.10200684, -0.37879598, -0.27976966, 0.044079907, 0.26219887, 0.36289772, 0.40379986, -0.031549968, -0.08141076, -0.39619747, -0.6294271, 0.5316458, -0.16287465, 0.5199738, -0.10241896, 0.11832797, -0.49171805, 0.40403244, 0.021856466, 0.5869849, 0.014600178, -0.7425873, -0.4308008, 0.08382787, 0.0767499, -0.7151245, 0.4984209, 0.29034945, 0.47039127, -0.21889514, 0.43918818, -0.22248729, -0.7493024, 0.14691657, -0.12138695, -0.14734335, -0.04718815, 0.32590508, 0.053208992, 0.06000767, 0.27365422, -0.41343486, -0.24701291, -0.24103156, -0.22498435, -0.7521596, -0.26184496, -0.4037356, -0.1914744, 0.02526183, -0.3648934, 0.13302307, -0.9268706, 0.03799702, -0.74230564, -0.18455085, -0.4945835, -0.4123794, -0.12577002, 0.23543003, -0.43050462, 0.41063076, 1.2074211, 0.34922326, 0.6700131, -0.26842037, -0.72355074, -0.30299103, -0.022430208, -0.49365187, -0.1335141, -0.0058865696, -0.01966702, -0.12849542, 0.273759, -0.18698196, 0.039839115, -0.32787618, 0.5266557, 0.15718341, -0.020107538, 0.52773863, 0.36127734, 0.11327498, -0.6360767, -0.018295163, -0.003608537, -0.27849877, -0.34759665, -0.6363648, -0.51936924, -0.027514782, -0.14278583, 0.053237543, 0.45098844, 0.25130567, 0.5209384, 0.2691862, 0.60027426, -0.59630626, -0.42920506, 0.7360761, -0.60335076, 0.4044019, -0.0892852, 0.40661234, 0.4730521, 0.023551099, 0.004177574, -0.029867664, -0.39819244, 0.22623283, 0.1958384, -0.23881909, 1.1652071, -0.123890415, 0.17633717, -0.4096051, -0.0939267, -0.0713657, 0.7275989, -0.418574, -0.49420846, -0.27739793, 0.19508383, -0.6542233, -0.41510767, 0.40037483, -0.34845373, -0.058796704, -0.11854352, 0.06061853, -0.43764606, -0.092264906, 0.16877374, 0.5429987, -0.06104605, -0.7690954, -0.53628427, -0.49525422, -0.76562303, -0.5242391, 0.39381707, 0.11470401, -0.43703854, -0.34265924, -0.29615682, -0.52389604, 0.2255157, -0.026672201, -0.164121, -0.16941302, -0.2010505, -0.58584404, -0.07739177, -0.13866475, -0.06695102, -0.24054113, -0.023764376, 0.055821173, -0.16476586, 0.2648915, 0.4009059, 0.090225324, 0.31936085, -0.7308117, 0.03257061, -0.12304693, -0.021991458, -0.33907357, 0.3463838, -0.241943, 0.4293599, 0.30180502, 0.17481914, -0.5264933, -0.4978409, 0.6225688, 0.29194278, 0.42698497, 0.08964064, -0.051255435, 0.4332655, 0.67629594, 0.5317585, -0.8710247, -0.38725606, -0.29437715, 0.9908161, -0.10382791, 0.09672942, -0.55068564, -0.665754, 0.14559938, 0.78716725, 0.6110077, 0.24923608, 0.4188056, 0.59520274, -0.02707229, 0.10776952, -0.31640342, 0.12365897, 0.13035542, -0.013681296, -0.11939042, -0.10336271, -0.26258945, -0.29944533, 0.2586279, -0.2861385, 0.39377612, 0.34617257, -0.4773708, 0.595825, -0.038122453, -0.41227508, -0.27081302, 0.39220598, -0.0873468, 0.10463125, -0.5421221, -0.3391288, -0.2529555, 0.39270395, -0.17599674, -0.21084642, 0.04373963, -0.47168103, 0.9968407, -0.3256366, 0.5216809, 0.1366856, -0.34586236, 0.07839505, -0.062737666, 0.76402813, -0.054885812, -0.65385973, 0.022136832, -0.5220331, 0.16456142, -0.34175876, -0.085274756, 0.84133947, -0.67828417, -0.030669544, -0.5638557, -0.16335313, -0.1427437, -0.8413825, -0.18399304, 0.13692708, 0.505314, -0.21665962, 0.103283025, -0.4165548, -0.11226536, -0.18743274, -0.24710989, -0.13071412, -1.0146041, 0.5870267, -0.702687, 0.37690476, 0.12053682, -0.3286799, -0.3293032, 0.15713134, -0.09725819, -0.23401777, -0.4555248, 0.009263668, -0.08020696, 0.14904237, 0.006827142, -0.48715055, 0.11709769, -0.3899903, 0.173047, 0.23965603, 0.40280536, -0.20688008, -0.9598818, -0.08759045, -0.24150483, 0.3059739, 0.2156477, -0.2230243, 0.049702965, 0.2306966, -0.48360264, -1.1306287, -1.058932, 0.6956899, 0.5183762, -0.16909048, 0.1019422, 0.36908108, 0.08772685, 0.24150974, 0.37036145, -0.06777204, 0.11952477, -0.17187527, 0.3580798, 0.36709455, -0.34448746, 0.29237202, -0.031387817, -0.21491265, -0.8391056, 0.44341847, 0.76270247, -0.1596008, -0.044701915, -0.3008584, -0.65621066, 0.6661489, -0.4398915, 0.42064968, 0.5573736, -0.556718, -0.22797859, -0.051861163, -0.0036665779, 0.300404, 0.5170407, 0.45449713, 0.21038799, -0.32172495, 0.23180984, 0.048412867, 0.20588328, 0.020668264, 0.7548127, -0.025750214, -0.11158808, -0.04384744, -0.03893623, 0.5673356, 0.42054328, -0.009543337, -1.0495615, -0.29625982, -0.14748988, -0.7991913, 0.15145768, 0.113383636, 0.45159188, -0.06623011, 0.45202622, -0.3896341, 0.41547468, 0.19613837, 0.055285677, -0.3143261, -0.8140146, 0.12855616, 0.099872455, -0.3124782, 0.4072456, -0.04201484, 0.61898315, 0.24562982, -0.30521348, 0.68273115, -0.50379205, 0.6148854, -0.19439413, -0.3948651, 0.3110829, -0.2674929, 0.6325833, 0.2239173, 0.29324397, 0.4318651, 0.26672497, -0.22789621, 0.40331328, -0.18671626, -0.5140768, -0.2560014, -0.6741008, -0.34351572, -0.85142326, 0.07338333, 0.31284896, -0.73651016, 0.6722175, -0.16228634, -0.083473295, -0.32044604, 1.0603247, 0.011654554, 0.3748548, 0.16281198, 0.52376276, 0.18340917, -0.11488599, 0.46790716, 0.8483671, -0.14894874, 1.1438458, 0.27229172, -0.03580933, -0.35427013, -0.6579941, -0.63656074, -0.07005627, -0.40781847, 0.44280556, 0.24829704, 0.23163943, 0.5033689, 0.23397243, -0.33809733, -0.5717036, -0.14971082, 0.22565526, -0.31460595, -1.1089759, -0.47361434, -0.12859672, -0.383397, 0.55500215, 0.4642482, -0.46744564, 0.19106571, 0.019805858, 0.41556433, -0.22406267, 0.31249994, -0.22940119, 0.20634666, -0.09824746, -0.4873861, 0.52913994, 0.14541484, -0.56347156, -0.5889995, -0.5518051, -0.04362235, 0.36576822, -0.85125464, -0.56824356, 0.5520467, -0.7482975, 0.077021345, -0.30108872, -0.29991877, -0.025942273, 0.89054435, -0.44795156, -0.116250485, -0.091474675, -0.6664618, -0.1944977, 0.42757884, -0.29258782, 0.13522802, 1.1473266, 0.08890726, 0.6184645, -0.15384354, -0.5143622, 0.55880356, -0.80962396, -0.29912424, -0.41009462, 0.22840934, -0.025173835, -0.14491102, 0.049880445, -0.5037928, 0.4159587, 0.6246248, -0.40084985, -0.08730775, -0.56776166, -0.13436443, -0.38666716, 0.6250984, -0.22590494, 0.065726794]"
후지필름 GFX 50S II,"4,884,690원","[-0.13774821, 0.38060272, -0.23246464, 0.44893515, -0.13586776, 0.019462315, -0.4173754, 0.17289247, -0.23200527, -0.2836444, -0.17276555, 0.4596878, -0.7579628, -0.19080248, 0.11743552, 1.1711787, 0.048538838, 0.5410549, -1.1437274, -0.368369, -0.74286246, 0.39423418, -0.40778676, -0.28243542, -0.09199809, -0.4822087, -0.42716333, -0.6997546, 0.04584879, -0.19203152, -0.10914269, 0.14337605, 0.29296768, -0.54993427, 0.39673522, -0.10879562, -0.69534314, 0.13153888, 1.0546921, 0.257667, 0.58372283, -0.511891, 0.020480353, -0.04024926, 0.82899946, 0.6891828, 0.2910503, 0.5029099, 0.014347767, 0.40848628, -0.3855995, -0.8998199, -0.25310168, -0.125461, -0.08422451, -0.16726476, 0.34592807, -0.0071947845, 0.40598136, -0.54164577, 0.25161162, -0.8517901, -0.35402775, -0.72681236, -0.8204565, 0.06840203, 0.7351056, -0.5167663, -0.22375101, -0.30436262, -0.25725114, -0.55809206, 0.024330806, 0.00028371674, 0.31708068, -0.20628758, 0.19393004, 0.29593793, -0.47534305, -0.14679585, 0.6800143, -0.13625455, -0.3510749, 0.59563583, -0.38057268, -0.52743185, 0.20396954, -0.34237176, -0.3890529, 0.13794057, 0.19606404, -0.026810266, 0.20664984, -0.44193813, -0.35146475, -0.25902084, -0.020996332, -0.4607669, 0.7788449, 0.022470115, 0.344563, -0.5021342, -0.5220798, -0.11758911, 0.13375781, -0.33351687, -0.80178165, 0.28165194, 0.8098943, -0.6865853, 0.30745217, -0.17455402, 0.14035924, 0.27806988, 0.56600595, 0.5074384, -0.1781299, -0.35326532, 0.0518929, 0.54662555, 0.00545734, -0.2622406, 0.4204408, 0.3935866, 0.17765953, -0.107276015, 0.22433716, 0.9019837, 0.3479431, -0.5184169, -0.104887255, -0.36576787, 0.056771528, 0.25606605, 0.7231218, -0.21475029, 0.122810595, -0.023122972, 0.32269228, 0.070205785, 0.12489858, 0.5205501, -0.16437505, -0.4246455, -0.25186703, -0.066504404, -0.15781954, 0.51911455, 0.4921336, -0.40285882, 0.38274825, -0.1283064, -0.32834467, -0.62705475, -0.3145273, -0.52151096, 0.25485325, -0.09129817, -0.781201, 0.7859869, 0.93354017, -0.46732748, 0.16777876, 0.02847842, -0.25342667, -0.60719556, 0.05079583, 0.8568525, -0.3586276, 0.030289747, -0.2044881, -0.38599348, -0.011940945, -0.04448763, 0.71742654, 1.1469197, 0.6401935, 0.26578113, -0.42207718, -0.36632538, -0.13569738, 0.8269069, 0.5413177, 0.4821746, 0.80119044, 0.21944374, -0.40219358, 0.2864301, -0.57920474, -0.8030207, -0.13261758, 0.23471369, -0.25120157, -0.1578217, 0.22103444, 0.9947737, 0.25378463, -0.42447627, -0.55822575, 0.19182633, -0.42082357, -0.45708677, -0.5053672, 0.13450144, 0.5798427, 0.09402888, -0.85195005, -0.7613977, -0.1862014, -0.017676163, -0.033893052, -0.16079473, -0.3045354, 0.20970248, -0.7027263, 0.56377065, 0.64536977, 0.2988729, 0.5628812, -0.14559312, -0.040038384, -0.41596052, 0.062815145, -0.79986364, -0.8600819, 0.6039919, -0.058754873, 0.87109655, 0.34365088, -0.5591306, 0.46282098, 0.2555547, 0.41764554, 0.18135144, 0.3085171, -0.07271238, 0.15585539, -0.19084185, 0.1456611, 0.18153274, 0.56897455, 0.6613908, -1.0860908, 0.34462574, 0.2514852, -0.071127, 0.12532607, 0.035080384, 0.61049587, -0.39216632, 0.011106378, 1.3228023, -0.7377226, -0.23623629, 0.54915214, 0.10599962, 0.19116865, -0.39170426, 0.046753503, -0.49642375, -0.65918934, -0.13384123, 0.23784043, 0.1516056, -0.12231889, -0.1834717, -0.1835271, -0.48853886, 0.18610682, 0.14136337, 0.18671101, -0.5376243, 0.022333842, 0.7888057, -0.26288176, -0.62740844, -0.3245056, 0.49082243, -0.38926965, 0.23556167, -0.49532592, 0.05885693, -0.58500427, 0.15707354, -0.5952207, -0.85267526, 0.2625114, -0.031840555, 0.2030069, -0.07562557, -0.1052975, 0.260939, 0.14463142, -0.9334045, -0.486501, 0.5477176, 0.34592637, 0.18511167, -0.6051543, -0.48210686, 0.5974483, 0.000535586, 0.24500217, -0.1745266, 0.25101805, 0.6339969, 0.055246677, -0.058608912, -0.0736005, 0.24895187, 0.3955281, 0.0972719, -0.008262626, 0.21722698, 0.49219674, -0.41195834, -0.07253378, -0.33065954, -0.6208843, -0.4529463, 0.16175154, -0.2656152, 0.00028520415, -0.33098263, -0.42461252, -0.34970063, -0.09483888, -0.30398723, -0.97935873, -0.066938564, 0.102326915, -1.2226113, 0.7377643, 0.31261215, 0.26993296, -0.26057023, 0.026456652, -0.569989, -0.2011486, -0.030839182, 0.37937996, 0.5882602, -0.75874406, -0.18564692, 1.288452, 0.25362465, -0.14049298, 0.07671253, 0.07525434, -1.1028998, 0.5439157, 0.021321677, -0.057602998, -0.5753537, 0.7519791, 0.6018725, 0.34779242, -0.23492774, -0.0062644216, 0.0731991, 0.17400795, 0.7597754, -0.33105186, -0.14664827, 0.08013532, -0.2539685, -0.04427625, -0.19499296, -0.60936826, -0.3662069, -0.1641783, -0.68150896, -0.04297623, -0.2807646, 0.07247717, -0.34072244, -0.5450066, -0.39868724, 0.4901249, -0.52719194, 0.82129073, -0.240316, 0.47911224, -0.06711667, 0.38385737, -0.36456937, -0.2471756, -0.0075141815, 0.15288271, 0.663743, -0.41601124, 0.050478708, -0.70003617, -0.22856127, 0.716271, 0.2652493, -0.65722746, 0.44287968, 0.104316905, 0.010724836, -0.21537513, 0.2756262, -0.56697446, 0.11438478, -0.25292704, -1.0246489, 0.14684677, 0.17437814, -0.9335358, -1.0082508, 0.22050261, 0.14619686, 0.065368004, 0.13152975, 0.54301345, -0.22794934, -0.2709828, 0.87349033, 0.587776, 0.5818784, 0.016662238, -0.1377634, -0.20605326, -1.0489198, -0.13434348, -0.22667943, 0.5829575, -1.2963696, 0.17930092, 0.058286212, 0.0028384111, -0.32754424, 0.44507903, -0.6006899, -0.51690584, -0.24566482, 0.17271926, -0.32174113, -0.611191, 0.16023812, -0.23490342, -0.3295442, 0.5462965, 0.27042514, -0.12564206, 0.03947317, -0.34694156, 0.84741175, -0.25630543, -0.26975062, -0.24478798, -0.12608677, -0.4906305, 0.42530873, 0.08909582, 0.88013273, 0.38611946, -0.8276079, -0.23568708, 0.38271314, 0.5050981, -0.20680566, -0.61698574, -0.37095854, -0.105974294, -0.3434111, -0.3667648, -0.52231795, 0.04590585, 0.2875272, 0.07677908, 0.06392341, -0.31100255, 0.13724974, -0.19941263, 0.022997575, -0.059148908, 0.29353818, 0.04166001, -0.787364, -0.15898977, 0.3146784, -0.1048207, 0.2960863, 0.10362454, 0.1615683, 0.023188375, 0.008053211, -0.17156135, 0.40219212, -0.5341925, 0.2818077, 0.09950468, 0.065572135, 0.55916095, -0.13272719, -0.38748872, 0.6440093, 0.027773835, -0.2918935, -0.102704436, 0.37769186, -0.2187492, -0.19836043, -0.09275237, -0.5548419, 0.092583105, -0.48724353, -0.044157937, 0.22201309, -0.57318056, -0.31321216, 0.7354615, 1.3138741, -1.117139, -0.23937473, -0.31436402, 0.23176025, -0.4490571, 0.012661331, 0.33810958, 0.5160665, -0.020771267, -0.18542227, 0.33215392, -0.19041248, -0.40757987, 0.5750146, 0.12909944, 0.240166, -0.58339906, 0.012037707, 0.7871584, 0.20274921, 0.47973955, -0.5453054, 0.5789927, 0.032633957, -0.5856498, -0.422602, -0.013973337, -0.025696732, -0.5670699, -0.5759671, -0.10687845, -0.18781783, -0.2609012, 0.04744381, -0.12192983, 0.010148774, -0.20442592, 0.10195515, -0.43861237, 0.15156636, -0.16889088, 0.23963064, -0.0138518, 0.3705003, 0.17658427, -0.8699124, -0.5427776, 0.110497504, 0.20853485, -0.6582711, -0.22503057, 0.24900827, 0.5668544, 0.02780924, 0.27990204, 0.30305755, -0.24953713, 0.42968786, 0.25352263, 0.10736134, -0.93648833, -0.06516619, -0.47491634, -0.36917076, 0.17246397, -0.9156933, 0.001269652, -0.17063853, 0.19690293, -0.3684885, 0.5691604, 0.036199693, -1.1510335, 0.21053943, -0.1383541, -0.27014965, 0.24143507, 0.012279227, 0.21547113, -0.025215875, -1.2897714, -0.07597606, -0.24623732, 0.024878128, 0.36077458, -0.049339555, -0.5820889, 0.39416048, 0.5826346, 0.3284464, -0.5363194, -0.5258208, 0.077032685, 0.093153834, -0.31854984, -0.06309703, 0.062174417, 0.39158356, 0.09729447, 0.09774428, -0.0080925375, 0.17365278, -0.32184342, -0.14671929, 0.051624652, -0.5070495, 0.32757822, 0.5995748, 0.12634952, -0.29404676, 0.6350312, -0.6072754, -0.11020613, -0.18596114, 0.32092068, -0.28476024, -0.2149989, 0.027179824, -0.31012535, 0.081142515, -0.43724507, 0.059383467, -0.1558117, 0.052272633, -0.7185637, -0.9067579, -0.8926657, -0.501501, 0.30100867, 0.19545402, 0.8469317, -0.9752955, -0.10284767, 0.2834604, -0.2744858, -0.7932508, -0.3288234, 0.1392041, -0.13406205, -0.3283807, 0.51662076, 0.6073665, 0.2978339, 0.08652228, -0.20245971, 0.032835063, 0.6405313, 0.1623717, -0.3194512, 0.2283266, -0.20301485, -0.0076802988, -0.29099762, 0.24690555, 0.15758993, 0.32928705, -0.39386213, -0.6040043, 0.410752, -0.09588181, -0.09226453, 0.2919287, 0.40082052, -0.30402943, 0.022128787, -0.34296152, 1.1499219, 0.26105496, -0.3735119, -0.009188178, -0.29198673, 0.99473614, 0.32157275, 0.18962193, 0.21972756, -0.24920802, 0.13473378, -1.1455165, -0.8156515, -0.26391628, 0.70567256, 0.2889322, -0.109437555, 0.6059567, 0.17759886, -0.48303223, 0.24562745, -0.13235645, -0.4677643, -0.4446494, -0.5065259, -0.282794, -0.19484602, -0.1531567, 0.31778076, -0.3440891, 0.43500406, 0.4033589, -0.1633805, -0.06960541, -0.24004659, 0.14132099, -0.20438911, 0.47236758, -0.03746507, -0.49821138, 0.3852438, 0.5515877, -0.61352843, -0.17327629, -0.1570178, -0.69030106, 0.24896179, -0.49916285, -0.13343695, 0.29760772, -0.062312342, -0.19667648, 0.29876706, 0.41866636, 0.19729222, 0.6649387, -0.6573878, 0.015365314, 0.21712619, -0.5606985, 0.2688398, 0.071806334, -0.48964137, 0.62020713, 0.69841987, -0.3624019, 0.16714215, -0.47584286, -0.77988183, -0.029340727, 0.20276116, -0.43856847, 0.42804557, 0.3468595, -0.47783488, -0.39964148, 0.122271635, 0.028048279, 0.069656916, 0.22995897, -0.29695213, -0.46548635, 0.6022922, 0.31558692, 0.18148297, 0.24184027, 0.59262735, -0.38299]"
