품명,가격,링크
IGNIQ 비와이 30Y 프리도스,"999,000원",https://cr.shopping.naver.com/adcr.nhn?x=Ml41rP1Kikp%2BXiY0Nt4pXv%2F%2F%2Fw%3D%3Ds5zsd4Fn%2FNzG0Zah0yv4d78m3q9J72HnRfDiNh7GMxLsLcOE8RM8PO3gzU7JthB1IKSLpUyeUT45Toty%2FvSdImGH8RQ4xLXreifiig3%2FMpIWeXBUUpsOH4RKab1IzrkdnU2NpNpNO2fFlbvy4%2FEzaftyGaSr%2B0dRu37W7MMIB4NFk9Io6iZoAfEBQfsbkhBMBMEtkv4esXTmJKE%2BMnb1AjiucKVMqs50fLPJsURCOAcbXriUAcZu6ZrXFtLyctRQUfjiL40rMvH4XUHBfv5X4bP6FLAYvfPxgpuEDaD%2BQLf%2BrCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPPcuIpsK701to%2BR%2BwzrSttq57H7JiYj%2BRvpZKsS%2FUN4fV36ogsAbT2GMBHUreotiQELT95SpJwxqC4oo3p%2B9%2Fj8dqZdrcgc11lkWQyKAuMz8sPOfdzkfq%2BKsVKCdbkop2oKBbwzDEo4Vd9L4s4jxauKhWjeYDbWpoLVWpf3DOlf3fPq8ZtDLPczfNkUDTJmXzYkzQuVpM%2F%2FgMp9a%2BenTHLuhYZ%2FhI%2FkN84je6k%2F%2BbfyX2utS6HahvL1sPTWVptQKVWVigzr2q8hx%2BY26c%2F3AY3BL3hsSAnqv%2F9s12%2FAHXa4pBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=31203989618&catId=50001737
Apple 아이맥 24형 2021년형 M1 8코어 CPU 및 7코어 GPU 256GB 실버 (MGTF3KH/A),"1,573,390원",https://cr.shopping.naver.com/adcr.nhn?x=Dv87s8dOEW6htS2UbwSj3P%2F%2F%2Fw%3D%3Dskfex5hsVOL0qaJgGeQYDd8bgf0NZ5iEfJhH%2FSaoTt%2F4LcOE8RM8PO3gzU7JthB1INmaxb%2BPz%2B%2F1b8%2B0CzWRU6K1etnCIKQpBcvRS5LjWeVyeXBUUpsOH4RKab1IzrkdnU2NpNpNO2fFlbvy4%2FEzaftyGaSr%2B0dRu37W7MMIB4NFk9Io6iZoAfEBQfsbkhBMBoYP7qbs%2BKAIjJDnx7mAsgWxYVD24qmoS2bkvTJeFvqnXriUAcZu6ZrXFtLyctRQUfjiL40rMvH4XUHBfv5X4bP6FLAYvfPxgpuEDaD%2BQLf%2BrCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPC%2FgMSOOCmKZZfgpy6EAc6yB4svG87q7fLHokFj1dgBIV36ogsAbT2GMBHUreotiQGTB8NNSJlSsJiROwDDY2cjnW%2F54BnmAsx%2FsNGaltWyqBHNOS04mwbf2sLSii8Aqp0Xf%2F6ZibPcfwa5Bu8JsHMQB9dJC6%2FE0P4M9D9%2FASnWGV6pz7mPx36u4mqlos21BDJByhyQalmKKuqTDWVr1A4%2Bun88xo6MlUndrEizB%2B1EwT321tPCOtMN68cvlNiHOa4c7I341ax4Z%2BqludiehnT%2BL1wF3B%2B2FYn3MOuaK45PAEaThcwm2jOjlPe7qD4n464whJKuN%2F%2BV5EKXcF%2BUTqt5ahkUd6dVVPQ2iKlBdIfqzxyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=27104851525&catId=50001737
삼성 데스크탑 5 인텔 11세대 i7 CPU 프리미어 프로 사무용 게이밍컴퓨터,"999,000원",https://cr.shopping.naver.com/adcr.nhn?x=OgzOGk%2FSm3I8dV6vQNGndf%2F%2F%2Fw%3D%3Dsjzsy0xniXyRbLeY6rCcalfcKbxTNTVEieM7pkYH%2FhfkJWpGMBUsxdF5XP77eIoc%2BB5wu9DMfplmgnB%2BIwtnOD5S3VseA8%2BtW1lG%2BwKUj%2BtvcJO63nhdY8W2HBBNKJs%2FAVw%2B8plaevctZQtW5w0KV4YZYgwI2fs40XR%2FERq%2FGNyfWK4fiV391hyKbNzjTTmNIczQJbmkb0IFmSC5hStwpBpSeRdGptJUTrOCMmklm%2Brj84irqoupb5cHtoCFQH9lAJV03cukp%2F9sq6JmLvPVclArJgSjxLn%2BoeVGN4zlIUUZPyDCkoThEYJorRhkArxSDf5S5ycDGuwbfEdv1A6kKwkYtjpQYGQp%2BSEvMVvMInBy5LZGJ%2FwLTpIaLjfK7v2KsRosSxf1yyKNJbOFUwLZfa%2FanUV57GzINsPESB6HKcMFs0fbrAO1DyDNzpfuNHfJMCalrrnTMbGoS6SKgaBYwN7ui4okZecFcc8cuWAmTjLKGXkz9yZLHrjFTsCoVWv6GeR2sk6DPpTPdVBakj8SGSVLpsnzm7sr65SPHuV8y2jnaZUcDe1%2BhF2b1jmy4gk09pEE2PqXYm02U21dg9PVNx7lbn4dYHo5R4h9qNymL4URycVRaw7dJFB31SjPw%2F13RVoWd0jB03C5aYq3HUc1IKtSSLJQZncWk8e8Ttfjz6Fs%3D&nvMid=82579659346&catId=50001737
삼성 컴퓨터세트 사무용 게이밍 주식용 로스트아크 롤 리니지W PC 컴퓨터 본체 데스크탑,"145,000원",https://cr.shopping.naver.com/adcr.nhn?x=CRR35sNjKLjMRXMoVk8k3v%2F%2F%2Fw%3D%3Dsz9jIXdzmtvAu3AXYpODEnZT2XKaL0XL6zB7X0Yply1oJWpGMBUsxdF5XP77eIoc%2BdCmlhbBif0Y49ohiUx3h7KF8WU%2BPeEip2h6TRAIlIKjcJO63nhdY8W2HBBNKJs%2FAVw%2B8plaevctZQtW5w0KV4YZYgwI2fs40XR%2FERq%2FGNyfWK4fiV391hyKbNzjTTmNIS%2BXO9ooUsUARntBDlG12bpSeRdGptJUTrOCMmklm%2Brj84irqoupb5cHtoCFQH9lAJV03cukp%2F9sq6JmLvPVclFgXD%2BMP2ztMaoKtAg5aLplr9kdTV1WRdbtxpxtb07xJx72P1MzfeDsyK%2BcBtz34gCS0UHqY1H%2FOvWoVHPhza4H6zB6y%2BT7fEuSGj8ui6z3ve7tiYjD1wRi48zK9jyNYlhA97OzC1I1l4xZT8YOPZax7fhKKtXQRFyByk6IwBmH421ATCruApgUHXPWV%2BR2XSAhJAFFZvQaitjXt1RocWc68J7QrirCLk6IM%2FYNkl9zRvaO22SbP3Lbvg2z%2B%2Be%2FrqcPLPm%2BYdf44eD948g12rlyKB66bTzXfuuXGLIRNln%2FtXp2nwz1zGVK5RNNhc1I1VA%2FtRs2MgkAFbAzurpTEm5asO8Xqa0SNMwWuOHm3lBP5rSHHKOKOI5ai1RqIV4g%2FnhgaG1%2ByOHyZK4wn19D8HS6CqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=83432022593&catId=50001737
IGNIQ 비와이 24X 2세대 프리도스,"719,000원",https://cr.shopping.naver.com/adcr.nhn?x=vjXruTFRkuTPgZFRiiT2ov%2F%2F%2Fw%3D%3Ds5%2BVknI%2Fqj7wJ3IG%2FMuErS20tsWZ%2B62DW7G3KuPDstZYLcOE8RM8PO3gzU7JthB1IyvIBRgQNnylONjP9AH1Lo89iS5jFqDHLdqnFSwDQ%2FYueXBUUpsOH4RKab1IzrkdnU2NpNpNO2fFlbvy4%2FEzaftyGaSr%2B0dRu37W7MMIB4NFk9Io6iZoAfEBQfsbkhBMBH8n%2BT3k79fYzTsEad0DkiCucKVMqs50fLPJsURCOAcbXriUAcZu6ZrXFtLyctRQUfjiL40rMvH4XUHBfv5X4bP6FLAYvfPxgpuEDaD%2BQLf%2BrCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPMkfwf%2FG6iov9ECidsEUvyhEAdCupD38SvsepwnR%2Bc%2BnV36ogsAbT2GMBHUreotiQF9k7BVoYc692I%2BNb6zhZTYOvNGp6838z2wP4UgDR4ptsPOfdzkfq%2BKsVKCdbkop2gzK48qvwshFFRO7h9shcovxwebwoIjQca8RQ8%2BFxJruN%2BBppxkdrYzT%2Fx6XNTceRM7wUIUSMthJ%2BOltlWIPAmRvLu6Xyg1nqKevv0VFAfrlEs8cFUTVf2EXpmSuc9bAhGwvMzh2wmjvI2B3qb%2Fk8SxJfP0bEPwQ4XGZ0cOvPtHXzY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=30852121618&catId=50001737
IGNIQ 비와이 24X 2세대,"799,000원",https://cr.shopping.naver.com/adcr.nhn?x=52MMT42v6QgOiScAtGvVd%2F%2F%2F%2Fw%3D%3Ds12QnXkaL8QuH2pKUtQDJzAlNeC8S64RaGe0d%2F%2FSAG8ALcOE8RM8PO3gzU7JthB1IBcfVCnNgUxkPVqG%2F74UcylyzkPvxLhep7OpoQ%2FdFP1SeXBUUpsOH4RKab1IzrkdnU2NpNpNO2fFlbvy4%2FEzaftyGaSr%2B0dRu37W7MMIB4NFk9Io6iZoAfEBQfsbkhBMBNyGo5ef%2F4s9PVhckxYSdpSucKVMqs50fLPJsURCOAcbXriUAcZu6ZrXFtLyctRQUfjiL40rMvH4XUHBfv5X4bP6FLAYvfPxgpuEDaD%2BQLf%2BrCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPOFr1uxvM7f7ibxT%2BdmXimt1uDdTF8iIxEk8ycoNAROnV36ogsAbT2GMBHUreotiQKHb8Gl3j0CsGXtahDUynm4dqZdrcgc11lkWQyKAuMz8sPOfdzkfq%2BKsVKCdbkop2gzK48qvwshFFRO7h9shcov3qZVh2cq%2Bpb%2Fye2sLM%2BFcllGY9EZYAb811VE1056eujC93Q7PLpqiz8k5womsHvyIDf9TYDOC4LzgCehLsur5dtxs4TMFWB8yqh44IZxF5o2D8yEj0e1l3Zqw34rZscBXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=30768129618&catId=50001737
IGNIQ 리트 미니PC 1B,"449,000원",https://cr.shopping.naver.com/adcr.nhn?x=U1LSnUgnJ4OHCHez7Dd32%2F%2F%2F%2Fw%3D%3Ds69TkQRFWkUhB2NjI5%2BTDvzScKfK6rzs0spqnIY1FGpyeTGkJEt7cg4H8hyUgHDs8h1hAfsvcpOLFSoDkJ07e3b0ygAVJdkicd1gizqSxfzpolqphJNGhIDacyysKl8BO46PXMplslryCH3ZKCnDMLkPg%2F6PYJW9LpCSumzPJoiiI9aZyW4hhCgmcrsQhWGWGGQM1p7yMp0dsjxGoblC6TZwpRN%2FqQp%2FpvrDrFrq3sq%2BGLVWQOjEfRR9D5HXN8%2Fs04mLyU6FGyKg6XzxoIHbKwhgd6%2FGwNhvB2EG8mRkzNGCAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2Fa1jEvGEkcugET5qNHa%2BPapqLzcRVswO%2FNXTrA15l4GNh2viQTjyvabyEQeg3RfPiqWYzZsE%2F5YEVkzra%2B5jP%2F6cPfwzF9ktWcxdrcTtO8KUKmzD6zJFsn1lvKlIu9k0jv4g968OTLw5AqEngjBZxATHWX5kc%2FzvOnjugFEf1zbN8vaX4MQkVJ2eUDek7tGE4%2B9barVkGm5X%2F%2B%2B0pSBMYed18yhYmoYJe%2BUomv81SvZ4za4z3QU4S%2BNbh30a0sZeL2O0QScdmj79W4Ike%2ByYeOsNUJgJp6CUXauCvW7Y5AjN&nvMid=29058449586&catId=50001737
삼성전자 삼성 DM500TDA-A38A,"741,040원",https://cr.shopping.naver.com/adcr.nhn?x=v9YG3W%2BWjz1qnONtqCDyVv%2F%2F%2Fw%3D%3Ds6hQT2rRb6QTxKPxiPLkM36NvyJ1fpNn%2FW70aq9HJAyQJWpGMBUsxdF5XP77eIoc%2B5jBnrFk%2B1iGorRmSVIJhU3g647KTsqje7oW6970Sc8XcJO63nhdY8W2HBBNKJs%2FAVw%2B8plaevctZQtW5w0KV4UgAn8lD2%2BxrgblrBqYwPdWug%2B9sjA7rHdeMLkY%2BwIMUEuUeEZpuQ9OxKAfUC%2F%2BGLjznXLXxsKm9kvjRLK5J%2B6tRXN20D8U43dsAzLAiLeJ0S%2BPo2uTQUaJR8HXLTxp7aZ28jKuWjl%2FtyfYBb%2F79TUpD4P%2Bj2CVvS6QkrpszyaIoCuwrUM2Vi5bq9fxYHuPhKUJqiLBS02tRUod0Vfi9I%2FfH2vx3i1OYApqZXzUg33bmzy9zNbLUva%2B9ilVM0wQ4H8pmHbgy1gp8FlJfA8RfElZuCX7qfKw3uLKVJPL7EECh%2FI%2F5u4ZL2P%2FDlji%2BWweeA3ZpHmJB47iW9sD1SAHXc2t8%2Brxm0Ms9zN82RQNMmZfNydM3Q6dHQneBVkc6wqdDdb5nany1Gnew8AW7atvTBts95r6H8N2J%2Bj6yCkrL1jDR%2FQZZTiRDsF2KQLHCzRGSw1%2BOR42WRdoI%2BneIxZdxG7EGruH08DlKshetxY8KUEZb&nvMid=28377588554&catId=50001737
LG미들 I5 4570 8G GT520 정품 윈10 사무용 가정용 컴퓨터 본체 데스크탑,"339,000원",https://cr.shopping.naver.com/adcr.nhn?x=LhsbrdkX2UPydI0bCeudCP%2F%2F%2Fw%3D%3Dsdzi0QSToMEadNnlyZBQQTmuRmCEvjpi4A4vzcJcXGTwJWpGMBUsxdF5XP77eIoc%2Bxt9oe02F%2BPSmmQGAQxS9E5ZD2s%2Bs2aduBX%2B0GRnT6%2BLcJO63nhdY8W2HBBNKJs%2FAVw%2B8plaevctZQtW5w0KV4YZYgwI2fs40XR%2FERq%2FGNyfWK4fiV391hyKbNzjTTmNIZmMB0vBEYsRd%2Bi9D7puiQZSeRdGptJUTrOCMmklm%2Brj84irqoupb5cHtoCFQH9lAJV03cukp%2F9sq6JmLvPVclK8pIIP8QtVk6PuS5pGuQgdjhZMifY%2BXMim4v9AVQk67x72P1MzfeDsyK%2BcBtz34gJgfoBrM%2BCZqbO1p%2FGGjhaLw8cwbzelyOI0QIOCslTZwOeBB0BrS%2F6nQ%2FlkJEPVUfg6HVtRF1UdYFuf6XUX911M1OCb7NyDJo0JR0wKGhEPgWKKjDrAzNkdrHlRVfcwAzImBjsSEXp6GEd8KE%2FohiwxdAHxOZMCgLGoNWqZRix9kAzFVO6NeRdhXAXKjbS3XyLYlMUrCpC9MafJuLG9y4LGDrgClekVxtSLNN1yS74gXhkJ%2FzPhGx%2F6RL%2B3YBKaPUhxYyKmLbC%2BaIjup4oMN11Y6fyp0QjH%2BwvR0gPA9QZ8waGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=83358238600&catId=50001737
[윈도우11 정품 포함] 리트 심플PC 1A 사무용 컴퓨터 데스크탑 10세대,"329,000원",https://cr.shopping.naver.com/adcr.nhn?x=DYIx3x02UuGvhDic9FFlbv%2F%2F%2Fw%3D%3DsG6sdSY%2BfRFRVwFBaswYMkBKCU%2BJBU44OZr3rDDuYtxdq0EKTZhqu5IgUdSEfnCz2G69qbNFDJqLyXdGPoy1uOQ167TwTbjjZGzk2nk729fInMEWxh3bBIMoAjkbgPOghfj4ngY9JzUwuc%2F3gerAPPDaSZny%2B1MgSfJG5ocTRQNj1rIvubP2%2F%2BNF2sTRY2hEVz3P%2Bw9V8fS5hUOJx3C6dnL9nMdrmgpsoxzEFfmxL2h3ffisv5tHfoGFh7RH%2BtSaOAFJNLWxG%2Fj2gEfGb7GroeJFr0b6HnzX%2FrdGTUjWtF9ooBoNqWVtNKFa%2FyDslBqvG6nYt0P5vFdgOY0ddt5wMGWo9Ru4HT9JXCupHfDbCudmdIRJftAL9mhEjBOVSTxSRL%2B%2B6qOFfwEpm%2Bx44DmFeX1wIhklsv1L0Bcxmy3k88zSoFaIwDL5o3sj%2B6eZrZUKiOJ74alUrjQMu6zbv1eyA2o%2Fb5ZKDfacaA4FoL%2BOGXTYm5td5fkpgHmpzgaUHemGns8oTCoAasXS0kAGM720SQTOc7hXaegHqPU8O7h1SuX%2Br7VAb36ErED7xDOmVlGU68gw2y8dsEY3NQ2XEwEv%2FMWrFwftENFMUAT%2B8c7NYirMiBIu9bg6pUR%2BHUHX2fT26hWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=83403797838&catId=50001737
삼성데스크탑 5 인텔i5 CPU 고사양 게이밍 컴퓨터 GTX1650 삼성PC,"1,249,000원",https://cr.shopping.naver.com/adcr.nhn?x=DDJPKsqt2jqOvJt3GVcDdf%2F%2F%2Fw%3D%3Ds7OSycpFSazPZhEMmDKIF1GCCPLgZJC1YsvaBJhjeS4lq0EKTZhqu5IgUdSEfnCz2TSWoyhVFV1MXggzErDQkQg167TwTbjjZGzk2nk729fInMEWxh3bBIMoAjkbgPOghfj4ngY9JzUwuc%2F3gerAPPDaSZny%2B1MgSfJG5ocTRQNj1rIvubP2%2F%2BNF2sTRY2hEVOeADIZavkEMo8GN42PG4SL9nMdrmgpsoxzEFfmxL2h3ffisv5tHfoGFh7RH%2BtSaOAFJNLWxG%2Fj2gEfGb7GroeHrDDISo%2F44ONa0Tnmo6WKVXdQqcV7btDcnxWIizL5Fah4gop7nbvOFvgN4InREmI9UEjzb1I8RqjTADunx0kvL67okGMmfTxYXvHX0UJpdePWoC4yWhWOMjdQwzcS5wkDXmAGxkVx7%2FYZxHH5WMyqZaMqSOuUkzgAhdKri17vT6Rz4Q02LT4TGHfJTF%2B8%2FkgES6DhlskcU1v3dJtHzjH2ncBjqSbsokRtnKm8cjD81Ujj3ufwft5RTkN%2B9V19Lf2nWSIjK6ajjqlVrUoVxXt9d8wtaPlwfGuGENJPIz8CyY5%2BiRVsnmtM4RVZQkwaP7TpF8qMAJ3xlTga5vkAl7jsoDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=82642712362&catId=50001737
Apple 아이맥 27형 2020년형 (MXWT2KH/A),"2,392,000원",https://cr.shopping.naver.com/adcr.nhn?x=PZk3mqC%2FOWaKs8%2BAgNPybP%2F%2F%2Fw%3D%3DsPjgjsgULQkM7OUzCk%2FzJY4xcCe%2FCPcIACGuOOlsG46sLcOE8RM8PO3gzU7JthB1IctGo5Zvx3iP6AA1YiMifoQcRdzBJ5j0kKxfDXdQyEpCeXBUUpsOH4RKab1IzrkdnU2NpNpNO2fFlbvy4%2FEzaftyGaSr%2B0dRu37W7MMIB4NFk9Io6iZoAfEBQfsbkhBMBsDkO7vrVI7YC%2BDKJCE2I0x89JBetS5nVRunm5UoRc6zXriUAcZu6ZrXFtLyctRQUfjiL40rMvH4XUHBfv5X4bP6FLAYvfPxgpuEDaD%2BQLf%2BrCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPFTsgBuu9saZcSiMNsktdnzjHEr2kWn5pRaqgp%2FHH7nkV36ogsAbT2GMBHUreotiQG%2B25JTo1y%2BqktNgyUj3nzp39E2Q861nNLBX8v5n4TBWBHNOS04mwbf2sLSii8Aqp%2Bh8X7T4Lwy2oHstov2T6%2F%2BWPwlRrOn%2F8OcWdORmav7CSPkBj1pvJwFJRyH%2Bpdylsu%2Bkd7eh4pg0d3R2Y9iCgFzDXvS%2Fb9ltFB2mENelcUJqramjBwCZI9AwCV4mCTWQmeA3CUQkGxhvkRFHbmWptXVU9yvAXkINcYRkwjPXnvSPA35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=23996167522&catId=50001737
삼성 올인원PC 일체형PC 데스크탑 윈도우정품탑재 사무용 컴퓨터,"698,000원",https://cr.shopping.naver.com/adcr.nhn?x=9%2FbRgUuF7a31eJrVT7EeoP%2F%2F%2Fw%3D%3Dsd5Bf2VPHn7YARtdf1tB5Rtkdju2%2BvhzWaV6mJapDkHsLcOE8RM8PO3gzU7JthB1InCv5pUV2sI5FSkWaY5y0EW0VpDGWTX7y04Ihgy7jsN2eXBUUpsOH4RKab1IzrkdnU2NpNpNO2fFlbvy4%2FEzafvCrzVtOxK%2BDNFfhXp70O%2BvG66W39bYVR7J8ygpm2%2FKtmGVt7%2BkqxoDWNS%2FI8AQkOZG%2FHRneXzHtVJJtzO0iMpyGVgK30doLkKKO%2BYppjkgna%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7tO2REIiIb3dBYozFbklhNkEe6tcOG4R%2B%2BAJTP9EzlqYIdr4kE48r2m8hEHoN0Xz4otJKs6Kzs%2FIQDTpOcx4BWll7wDtAkFp7DV%2BH2rWwgWsz801BjzA2u%2FOZv%2FZEcLUtFanZqcG64uVzIXEjGUywe2hYvKaaj%2FjEKR%2FzfQXqUS6Jvh839kAgZmPNxuqU%2FUsDlvlmu8czciz1TUFtBdx40j1YMefQK1i%2FyQloHwZc7%2FqV%2B3GBVYg0mT1nI2wcClnqrmc67j2MGDaSUIU2AoHIhtY8uh1K1HaMjtid2VYLIxfjY9WDohbQgljO15v6IlX4FSSHljxe%2B6gNJgGswtKLiY5Hv1T%2FoDPeAT2ZD%2BWCfnsQ%3D%3D&nvMid=82954627054&catId=50001737
IGNIQ 리트 심플PC 1C RE 프리도스(RT-SPP00013),"499,000원",https://cr.shopping.naver.com/adcr.nhn?x=5eH5jD9cIh1iUYj3NFCXkP%2F%2F%2Fw%3D%3DsN%2F9CXFD3exGRXEI71nlC%2B3bXwIdekDXpGUayqwKSYC5q0EKTZhqu5IgUdSEfnCz26zZTKjA2KbIReRLOKa3LeQ167TwTbjjZGzk2nk729fInMEWxh3bBIMoAjkbgPOghfj4ngY9JzUwuc%2F3gerAPPMi30QtKP1mA7BYZPpxeJLexWvZfe2todmJfmpbNrXnqqMZxxj5aaYbeR1p7HF744vkLxQseUvuXN%2FfaD%2FOo3jRJ6BdCe7IAGLjuCf1CfeZql%2B12vUovjE2zMfdxoP3BI%2BtzpoMdxpjMgpc1l1PiPTvDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqtuPq2m58bgCute6uB1a%2FwYhIW%2Fufm4Ai1g%2Bbn5o8FWgy7RrQx4CkMqIgJzcYx621prdfwtKeUWpeA2nDyNC0oSgIX25kXOk%2FUPdTKqFSCOqSCtWLsZOsCByx8mVJyvGTw%2F%2F7AvIvmz36yyji%2BuVN0yFontttBVqEodQS%2BS0aNgZHIVqo6lZTg07q1dm3YNJbubDa0xhsVIFtPkiZuiZgGJCVZ3Rdb4LyYFSUWqo2sXZ71tqtWQablf%2F77SlIExh51pR9I2Tw%2Bx7VJt%2FQNgUxcf5b7JVGDaeln3hq0WB6BlSyxN7sowf3bBszTOFNQxvCQ1QmAmnoJRdq4K9btjkCM0%3D&nvMid=31821267618&catId=50001737
삼성 데스크탑 5 11세대 i5 슬림형PC 본체 가정용 포토샵 게임용 컴퓨터 고사양 사무용,"759,000원",https://cr.shopping.naver.com/adcr.nhn?x=XsSs350CAHy%2BCU8khdEKMf%2F%2F%2Fw%3D%3DsHm%2BXNz%2FRmEqGeGaa10o1WHMJ%2FjXvBq4KtJcNxpn1hYxq0EKTZhqu5IgUdSEfnCz2R%2FgLSBrNMAxbFu8wxTVw7Q167TwTbjjZGzk2nk729fInMEWxh3bBIMoAjkbgPOghfj4ngY9JzUwuc%2F3gerAPPDaSZny%2B1MgSfJG5ocTRQNj1rIvubP2%2F%2BNF2sTRY2hEVWY7eOiArPhiDTDjWNLrJAr9nMdrmgpsoxzEFfmxL2h3ffisv5tHfoGFh7RH%2BtSaOAFJNLWxG%2Fj2gEfGb7GroeJHpUaa%2FFXL3UCBCNk3bkCP%2BtRqx8wuqox8YnVjWSGEJh4gop7nbvOFvgN4InREmI76hBJgX4qnluTfmnSQs51JwSg6kyzFGNPGl5RMWi85NGxj6dMQHrK5ag7hpuAByHzfTRtz45dPYgmvl5y9%2Bzyw%2BiVCRcRqG0U%2FvccJ8JJGwtwFZzXga7iyCBpnCkXdilpiz0oDZ0himTBdpkJ927vWEZmEoWUue1uHkYyGbYuEkeBBrTh9xx7upM1pcdkQBlre%2Fj9b9LWY%2B3oNNoPeFb4Va%2B7I7ZfXnF66Ui65LN0Paum10x8J92ViTI6t19UqDRy8%2Fq4CQ9FSFHXyF2BHJz6ykId%2BsPUq9m2mc1cHO4UxeWv7u0WglPKjEi5Zo%2FOCXoVaFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=83178848478&catId=50001737
LG전자 24V50N-GR36K,"769,220원",https://cr.shopping.naver.com/adcr.nhn?x=2TEFW8kZro5zyPiWyYw2FP%2F%2F%2Fw%3D%3DsTPNXBBtEpkmBsJuW7J8%2FBU1vtm8oRVc6n9yoKoU7gaoLcOE8RM8PO3gzU7JthB1IQpPsbsMEIX%2BlWka6%2FECiui09YgnYMUaWvI%2BSxUsmXq6eXBUUpsOH4RKab1IzrkdnU2NpNpNO2fFlbvy4%2FEzaftyGaSr%2B0dRu37W7MMIB4NFk9Io6iZoAfEBQfsbkhBMBhvmdHoEf93wm9ZkmxHtR8d3KxZR%2FXQkIbBjkxNpl7c%2FXriUAcZu6ZrXFtLyctRQUfjiL40rMvH4XUHBfv5X4bP6FLAYvfPxgpuEDaD%2BQLf%2BrCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPGdBV%2B4KtyTh7vvPqQxa3uniprD2wMHpjHvOMog2FatSV36ogsAbT2GMBHUreotiQI2dLpFX5WiTlwQYKDxpJQCZi%2FzaBuQFethEBVQ6X8G9Nifbjq9lwtRIpr4isW5NVwwkmWLsfoR%2FbZ%2BBfWbss0debn3ZsLDSBwXgWNtRTRkKTmW5q%2BCeFYw5nHz9mOI1KbAKQGpyRhx0Kg8UAV9UdwR7qFwBt85Camu7quGeorFlalRrPbWA%2FzA33%2BMjVa7Zl3I6JjKFdTc5UCDnjgDFW00dHI8FZtQVGFZJxOyBDKc%2B&nvMid=21636200297&catId=50001737
IGNIQ 리트 심플PC 1C RE(RT-SPP00013),"599,000원",https://cr.shopping.naver.com/adcr.nhn?x=VPUU89VvmyzARaQT658MMf%2F%2F%2Fw%3D%3Dsl0cu4F5v8tFrZjzT5vSzcY4Ma42fdeTUvHE1Hry6K2QJWpGMBUsxdF5XP77eIoc%2BXno3VZKK0PhjjSdTLnKZO6ki42EuhIWN%2BV2cN6DgSFvcJO63nhdY8W2HBBNKJs%2FAVw%2B8plaevctZQtW5w0KV4UgAn8lD2%2BxrgblrBqYwPdWug%2B9sjA7rHdeMLkY%2BwIMU7p4O8Wwo2QQZMMF%2FlUBC4jznXLXxsKm9kvjRLK5J%2B6tRXN20D8U43dsAzLAiLeJ0S%2BPo2uTQUaJR8HXLTxp7aZ28jKuWjl%2FtyfYBb%2F79TUpD4P%2Bj2CVvS6QkrpszyaIoCuwrUM2Vi5bq9fxYHuPhKVconGLMWwgbLWEm98TQ5KY03nfamNks1xBN7r8vA4zuzy9zNbLUva%2B9ilVM0wQ4H6A6HsNsFschbAi6kgNgqlrdcKGS8K3v9HOi3wvF0LzmYA1jLXETGQ7ZkOX1%2BsvZ%2B9PN679sKB9F5UAPCd9yUqMWGttyIZnXlb6EH8N%2FZYdGuwP9L0j7YvHB2OKNn2rLcF4H%2FAcJ9O9LRLCLLwTJxqzEe0nKCrQwYnJxOc3lOigIv4YGjJCSIW1IvBxXT1wG94L3osy7fqUqWD2AT3Z1skcn5BdZkFi47EIV0%2FT7CJN0DhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=31766483618&catId=50001737
